Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),12/12/2022 11:24,1.5,10.61,0.02,2,0.13,8,7.8,4.63,4.37
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),1/18/2023 10:07,3.1,11.6,0.02,26,0.11,8,7.8,3.92,4.93
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),2/15/2023 10:07,3.1,11.27,0.02,4,0.1,9.9,7.6,4.99,5.28
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),3/15/2023 9:57,2.6,11.73,0.01,14,0.1,8.3,7.5,3.22,4.77
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),4/19/2023 9:46,4.6,8.94,0.03,8,0.13,19.8,7.6,13.2,3.16
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),5/10/2023 10:25,2,9.13,0.02,1,0.1,20.2,7.4,6.76,2.99
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),6/21/2023 10:32,13.2,8.77,0.03,60,0.19,22.9,8.4,27.2,1.91
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),7/13/2023 10:34,10.5,9.8,0.03,31,0.13,30.4,9.6,17.9,1.17
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),8/16/2023 10:58,1.4,8.2,0.02,4,0.05,30.1,9.5,4.5,1.19
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),9/12/2023 10:22,0.5,8.5,0.01,15,0.14,26.1,8.9,3.23,1.14
Swiggetts Pond ,#REF!, Cedar Creek Rd. (Rt. 30),11/14/2023 10:07,1.7,10.34,0.02,1,0.1,11.9,7.4,5.05,2.37
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),12/12/2022 11:15,22.2,10.8,0.03,275,1.94,8.3,7.8,32.9,3.37
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),1/18/2023 9:55,20.3,11.32,0.05,63,0.66,7.6,7.9,21.9,4.34
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),2/15/2023 9:55,35.5,10.63,0.06,17,0.53,9.4,7.6,31.8,4.95
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),3/15/2023 9:45,66.7,11.17,0.08,12,0.39,7.2,7.5,17.5,5.46
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),4/19/2023 9:34,68.2,8.94,0.14,62,1.35,18.1,7.4,155,2.76
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),5/10/2023 10:12,108,8.78,0.08,145,0.4,18.6,7.3,87.5,2.93
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),6/21/2023 10:08,44,6.62,0.13,977,1.81,21.7,7.2,91.9,1.69
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),7/13/2023 9:53,44.8,5.7,0.13,288,3.12,28.2,7.3,76.9,1.32
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),8/16/2023 10:45,39.1,6.05,0.12,1370,1.13,28.4,7.2,71.6,1.48
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),9/12/2023 10:11,28.6,6.07,0.12,731,2.94,25.6,7.1,67.9,1.54
Cedar Creek ,#REF!, Coastal Hwy. (Rt. 1),11/14/2023 9:54,34.3,9.83,0.07,284,2.58,11.6,7.1,14.7,2.26
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),12/12/2022 10:40,104,9.92,0.04,131,27.58,7,7.9,21,0.52
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),1/18/2023 9:34,209,10.85,0.19,52,21.23,7.6,8,47,1.42
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),2/15/2023 9:37,151,10.69,0.2,20,21.9,8.3,7.8,67.9,1.4
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),3/15/2023 9:26,239,10.93,0.17,98,13.62,6.4,7.3,46.9,2.17
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),4/19/2023 9:11,65.8,8.11,0.14,30,26.11,15.9,7.7,35.4,0.78
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),5/10/2023 9:52,89.2,7.23,0.1,41,16.18,17.7,7,31,1.1
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),6/21/2023 10:00,26.4,6.31,0.06,135,25.68,21.2,7.2,10.3,0.6
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),7/13/2023 9:35,50.8,6.44,0.09,52,28.69,27.1,8,18.8,0.56
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),8/16/2023 9:59,66.9,5.75,0.17,74,27.31,27.5,7.5,27.2,0.84
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),9/12/2023 9:47,22.3,6.4,0.08,31,27.63,25.7,7.6,11.1,0.58
Cedar Creek ,#REF!, Cedar Beach Rd. (Rt. 36),11/14/2023 9:35,53.3,9.22,0.07,10,29.83,11.1,7.5,7.98,0.76
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),12/12/2022 8:14,0.7,8.51,0.17,91,0.76,10.4,7.3,0.82,13.3
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),1/18/2023 8:53,0.5,9.11,0.33,30,0.85,10.4,7.4,1.33,33.8
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),2/16/2023 8:58,1.1,8.86,0.18,111,0.84,13.9,7.4,7.24,26.7
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),3/15/2023 8:29,1.7,10.29,0.25,67,0.81,7.5,7.6,4.18,23.8
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),4/19/2023 8:37,1.6,9.19,0.37,615,0.87,14,7.9,2.91,29.7
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),5/10/2023 8:23,2.3,8.89,0.26,977,0.71,15.6,7.7,2.18,21.2
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),6/21/2023 8:17,3.1,7.84,0.52,420,0.85,20.2,7.9,10,38.3
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),7/13/2023 8:10,2.5,7.46,0.72,325,0.89,24.9,8,6.7,12.2
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),8/16/2023 8:10,1.6,7.25,0.4,870,0.88,24.5,7.6,4.63,50
Savannah Ditch ,#REF!, Savannah Drive (Rd. 246),9/12/2023 8:41,5.9,7.51,0.38,1100,0.86,22.8,7.5,10.6,49.9
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),12/12/2022 8:24,0.7,9.43,0.15,240,0.81,8.7,7.7,2.74,8.23
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),1/18/2023 9:01,0.5,10.12,0.32,46,0.84,8.5,7.8,4.45,24.6
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),2/16/2023 9:11,1.1,9.03,0.17,83,0.85,13.2,7.7,3.75,30
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),3/15/2023 8:40,7.8,10.41,0.23,109,0.8,6,7.8,22.5,21.7
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),4/19/2023 8:49,2.1,9.06,0.31,922,0.87,13.1,8,10.2,27.9
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),5/10/2023 8:41,0.5,8.87,0.21,1300,0.32,14.2,7.7,2.73,19.4
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),6/21/2023 8:27,1.9,7.81,0.3,651,0.84,20,8,--,34.5
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),7/13/2023 8:20,13.6,7.58,0.56,2240,0.88,24.4,8.2,23.7,12.9
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),8/16/2023 8:21,9.4,7.31,0.49,1370,0.89,24.4,7.9,33.9,44
Ingram Branch ,#REF!, Gravel Hill Rd. (Rd. 248),9/12/2023 8:53,1,7.65,0.37,1100,0.82,22.7,7.8,3.42,41.4
Broadkill River ,#REF!, Union St (Rt. 5),12/12/2022 9:24,1,11.54,0.02,24,0.13,7.7,6.8,1.95,3.98
Broadkill River ,#REF!, Union St (Rt. 5),1/18/2023 9:51,2,12.07,0.32,24,0.1,8.1,7,3.57,4.49
Broadkill River ,#REF!, Union St (Rt. 5),2/16/2023 10:03,2.5,11.07,0.02,22,0.05,11.8,7.1,7.82,5.48
Broadkill River ,#REF!, Union St (Rt. 5),3/15/2023 9:44,2,10.8,0.02,2,0.13,6.9,6.7,3.23,4.62
Broadkill River ,#REF!, Union St (Rt. 5),4/19/2023 9:51,2.7,8.98,0.04,6,0.12,17.2,7.3,6.12,3.3
Broadkill River ,#REF!, Union St (Rt. 5),5/10/2023 9:56,3.4,8.73,0.04,163,0.05,17.5,6.9,17.7,3.64
Broadkill River ,#REF!, Union St (Rt. 5),6/21/2023 9:22,12.5,7.89,0.03,321,0.13,21.9,7.2,6.4,2.75
Broadkill River ,#REF!, Union St (Rt. 5),7/13/2023 9:13,4.3,7.56,0.04,870,0.14,27.9,7.3,25,1.98
Broadkill River ,#REF!, Union St (Rt. 5),8/16/2023 9:24,6.9,7.13,0.05,177,0.14,26.7,7.3,22.9,1.91
Broadkill River ,#REF!, Union St (Rt. 5),9/12/2023 9:54,1.8,7.5,0.03,192,0.15,25.4,7,8.69,2.89
Broadkill River ,#REF!, Rt. 1 Bridge,12/12/2022 10:24,34.6,10.4,0.06,865,11.43,7.7,7.3,4.22,2.24
Broadkill River ,#REF!, Rt. 1 Bridge,1/18/2023 10:42,10.7,11.19,0.09,160,2.29,8.5,7.4,7.95,3.68
Broadkill River ,#REF!, Rt. 1 Bridge,2/16/2023 10:53,81,10.1,0.12,66,1.85,10.8,7,11.8,4.46
Broadkill River ,#REF!, Rt. 1 Bridge,3/15/2023 10:37,96.2,12.22,0.15,37,1.28,7.6,7.2,56.5,4.79
Broadkill River ,#REF!, Rt. 1 Bridge,4/19/2023 10:39,37.9,8.01,0.08,11200,14.15,16.7,7.2,20.8,1.36
Broadkill River ,#REF!, Rt. 1 Bridge,5/10/2023 10:59,211,8.79,0.26,135,1.22,18.3,7,120,3.47
Broadkill River ,#REF!, Rt. 1 Bridge,6/21/2023 10:14,25.4,6.55,0.08,882,6.97,22.4,7,14.9,1.43
Broadkill River ,#REF!, Rt. 1 Bridge,7/13/2023 10:00,50.1,5.82,0.12,1270,9.83,28.1,7.1,25.9,1.22
Broadkill River ,#REF!, Rt. 1 Bridge,8/16/2023 10:39,55.1,5.7,0.14,1520,11.32,28.7,7.2,30.6,1.2
Broadkill River ,#REF!, Rt. 1 Bridge,9/12/2023 10:56,25,5.69,0.14,738,11.38,26.8,7.1,34.9,1.27
Red Mill Pond ,#REF!, Rt. 1,12/12/2022 9:53,9.2,12.44,0.03,10,0.05,7.6,7.2,52.9,1.13
Red Mill Pond ,#REF!, Rt. 1,2/16/2023 10:24,12.5,11.69,0.06,12,0.05,11.5,7.4,48.3,2.66
Red Mill Pond ,#REF!, Rt. 1,3/15/2023 10:06,17.7,12.54,0.06,6,0.05,7.2,7.3,39.5,2.43
Red Mill Pond ,#REF!, Rt. 1,4/19/2023 10:09,17.8,8.99,0.09,20,0.05,18.2,7.5,13.1,1.92
Red Mill Pond ,#REF!, Rt. 1,5/10/2023 10:20,15.2,9.85,0.08,19,0.05,18.3,7.5,66.3,1.57
Red Mill Pond ,#REF!, Rt. 1,6/21/2023 9:44,10.8,8.24,0.08,26,0.05,22.8,7.8,44.7,1.29
Red Mill Pond ,#REF!, Rt. 1,7/13/2023 9:33,16.4,8.1,0.06,46,0.05,29.4,8.1,26.8,1.03
Red Mill Pond ,#REF!, Rt. 1,8/16/2023 9:45,19.4,7.84,0.05,143,0.05,29.2,8,45.9,1.05
Red Mill Pond ,#REF!, Rt. 1,9/12/2023 10:26,27.4,7.93,0.07,101,0.05,28,7.7,90.7,1.91
Broadkill River 0.10 Miles From Mouth,#REF!,,12/12/2022 10:07,58.3,10.57,0.03,41,26.51,7.4,7.6,14.7,0.31
Broadkill River 0.10 Miles From Mouth,#REF!,,1/18/2023 10:25,97.5,11.17,0.01,30,13.34,7,7.4,26.3,1.46
Broadkill River 0.10 Miles From Mouth,#REF!,,2/16/2023 10:37,35.7,10.24,0.05,20,18.09,10.3,7.5,14.4,1.32
Broadkill River 0.10 Miles From Mouth,#REF!,,3/15/2023 10:22,301,12.07,0.22,10,9.36,6,7.3,26.6,1.63
Broadkill River 0.10 Miles From Mouth,#REF!,,4/19/2023 10:23,42.9,8.32,0.06,4840,27.82,16,7.7,17.7,0.41
Broadkill River 0.10 Miles From Mouth,#REF!,,5/10/2023 10:37,69.3,7.62,0.1,63,10.89,18.4,7,34.8,1.19
Broadkill River 0.10 Miles From Mouth,#REF!,,6/21/2023 9:59,52.6,6.76,0.06,2360,22.86,21.5,7.3,6.83,0.45
Broadkill River 0.10 Miles From Mouth,#REF!,,7/13/2023 9:47,42.6,5.81,0.04,84,25.77,27.8,7.4,7.18,0.53
Broadkill River 0.10 Miles From Mouth,#REF!,,8/16/2023 10:01,224,6.21,0.04,97,26.65,28,7.5,18.9,0.36
Broadkill River 0.10 Miles From Mouth,#REF!,,9/12/2023 10:39,31.7,6.25,0.04,31,27.33,26.5,7.6,10.8,0.43
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),12/12/2022 9:05,0.7,10.44,0.04,76,0.1,8.6,6.3,2,8.85
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),1/18/2023 9:32,1.9,9.77,0.03,120,0.1,9.3,6.4,5.43,8.63
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),2/16/2023 9:41,1.6,9.76,0.03,56,0.1,12.1,6.3,5.17,6.94
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),3/15/2023 9:13,1.9,11.05,0.02,56,0.1,7.4,6.4,2.2,8.44
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),4/19/2023 9:23,1.3,8.46,0.03,46,0.1,13,6.3,2.59,8.35
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),5/10/2023 9:21,1.3,8.69,0.05,65,0.05,13.4,6.4,1.15,7.12
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),6/21/2023 8:59,1.7,7.68,0.04,413,0.05,17.7,6.3,1.13,7.18
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),7/13/2023 8:51,1.4,7.63,0.04,551,0.1,20.8,6.4,2.38,7.53
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),8/16/2023 8:59,1.6,7.41,0.05,1840,0.1,21,6.3,1.86,7.23
Beaverdam Creek ,#REF!, Cave Neck Rd. (Rd. 88),9/12/2023 9:26,1.3,7.51,0.06,1630,0.1,21.1,6.2,2.68,6.08
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),12/12/2022 8:55,2.1,8.42,0.13,15,0.11,6.1,6.7,21.7,0.6
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),1/18/2023 9:25,7.6,9.76,0.1,34,0.05,6.1,6.8,10.8,2.67
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),2/16/2023 9:30,4.4,8.81,0.07,63,0.11,11.4,6.7,23,2.42
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),3/15/2023 9:07,5.1,12.03,0.06,46,0.11,3.8,7,2.97,2.81
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),4/19/2023 9:12,5.4,7.17,0.14,62,0.12,12.8,6.8,4.6,1.95
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),5/10/2023 9:05,4.2,8.26,0.15,224,0.1,13.5,6.8,2.35,2.59
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),6/21/2023 8:49,4.4,6.86,0.13,398,0.11,19.4,6.8,5.8,2.23
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),7/13/2023 8:39,3.7,6.6,0.17,333,0.1,24.8,7.1,9.17,1.2
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),8/16/2023 8:47,7.9,5.92,0.29,106,0.12,25,6.8,13.3,0.72
Beaverdam Creek ,#REF!, Carpenter Rd. (Rd. 259),9/12/2023 9:14,4.4,5.36,0.26,1300,0.1,22.3,6.5,4.32,0.73
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),12/12/2022 9:19,2,9.43,0.02,61,0.13,7.4,6.3,3.78,4.15
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),1/18/2023 9:43,22.9,9.3,0.07,37,0.13,7.6,6.4,9.13,5.39
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),2/16/2023 9:53,6.1,9.75,0.05,17,0.1,12.8,6.3,71.3,4.22
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),3/15/2023 9:33,3.1,10.26,0.03,15,0.13,6.2,6.4,16.3,4.93
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),4/19/2023 9:39,2.2,7.5,0.07,53,0.12,14.5,6.6,2.18,2.8
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),5/10/2023 9:39,7,7.58,0.06,52,0.11,14.8,6.5,5.47,3.48
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),6/21/2023 9:11,5.3,7.16,0.05,977,0.12,19.5,6.5,3.4,2.14
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),7/13/2023 9:04,3.7,6,0.07,1100,0.13,23.9,6.5,2.27,1.81
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),8/16/2023 9:14,2.8,5.72,0.07,651,0.13,23.2,6.4,3.12,1.74
Round Pole Branch ,#REF!, Cave Neck Rd. (Rd. 88),9/12/2023 9:42,17.1,5.3,0.42,731,0.11,22.5,6.3,9.16,0.97
Waples Pond ,#REF!, Rt. 1,12/12/2022 10:45,1.6,12.35,0.02,10,0.1,6.5,7.6,3.96,4.66
Waples Pond ,#REF!, Rt. 1,1/18/2023 10:59,2.2,11.9,0.02,2,0.05,8.2,7.7,1.91,6.15
Waples Pond ,#REF!, Rt. 1,2/16/2023 11:12,3.1,11.36,0.02,10,0.05,12,7.2,5.2,5.85
Waples Pond ,#REF!, Rt. 1,3/15/2023 10:57,6.8,12.66,0.02,8,0.05,8.5,7.3,7.59,6.07
Waples Pond ,#REF!, Rt. 1,4/19/2023 10:55,2.2,10.01,0.03,2,0.1,17,9.1,2.64,3.64
Waples Pond ,#REF!, Rt. 1,5/10/2023 11:14,3.7,9.47,0.02,2,0.05,20.2,7.5,12.5,3.48
Waples Pond ,#REF!, Rt. 1,6/21/2023 10:33,3.8,8.71,0.02,218,0.1,22.2,8.1,5.45,2.37
Waples Pond ,#REF!, Rt. 1,7/13/2023 10:19,5.2,10.02,0.04,75,0.05,29.4,9.2,66,1.55
Waples Pond ,#REF!, Rt. 1,8/16/2023 10:58,7.3,8,0.03,20,0.12,28.5,8.2,14.1,1.7
Waples Pond ,#REF!, Rt. 1,9/12/2023 11:17,4,8.45,0.02,2,0.1,27.2,7.8,9.9,1.96
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),12/12/2022 7:55,0.7,10.39,0.01,123,0.05,9.8,6.1,0.59,8.43
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),1/18/2023 8:38,0.5,9.59,0.01,134,0.05,10.5,6.5,0.91,9.44
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),2/16/2023 8:42,0.5,9.72,0.01,101,0.05,12.9,6.3,1.06,9.96
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),3/15/2023 8:13,2.8,11.13,0.01,109,0.05,7.6,6.3,1.29,10.5
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),4/19/2023 8:18,0.5,10.05,0.02,137,0.05,12.6,6.4,2.16,9.97
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),5/10/2023 8:01,1.5,9.42,0.02,198,0.05,14.2,6.4,1.48,9.62
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),6/21/2023 8:11,1.5,8.59,0.02,690,0.05,17.8,6.4,0.77,10.2
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),7/13/2023 7:56,2.8,8.02,0.02,1160,0.15,22.1,6.6,0.77,10.5
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),8/16/2023 7:55,0.6,8.16,0.02,1630,0.05,22.3,6.1,0.7,9.85
Pemberton Branch ,#REF!, Gravel Hill Rd. (Rt. 30),9/12/2023 8:20,1.5,8.27,0.02,2240,0.05,19.8,6.2,0.48,8.61
Nanticoke River ,#REF!, Sharptown,12/13/2022 10:18,19.2,11.35,0.06,54,0.1,7.5,6.7,25,3.93
Nanticoke River ,#REF!, Sharptown,2/28/2023 9:39,15.8,10.74,0.05,6,0.05,9.8,6.6,12.6,4.88
Nanticoke River ,#REF!, Sharptown,4/25/2023 9:47,14.3,9.29,0.06,4,0.05,18.8,7.3,46.8,2.97
Nanticoke River ,#REF!, Sharptown,6/27/2023 9:36,30.7,7.85,0.09,187,0.05,25.1,6.8,92.4,2.22
Nanticoke River ,#REF!, Sharptown,8/29/2023 9:18,31.9,7.05,0.09,300,0.05,25.6,6.8,113,2
Nanticoke River ,#REF!, Sharptown,10/31/2023 9:08,28,8.57,0.09,107,0.05,16.7,6.6,86.4,3.86
Nanticoke River ,#REF!, Buoy 66 (mouth of DuPont Gut),12/13/2022 10:53,12.5,11.27,0.13,70,0.05,7.1,6.7,16.5,4.22
Nanticoke River ,#REF!, Buoy 66 (mouth of DuPont Gut),2/28/2023 9:08,13.5,10.9,0.04,15,0.05,9.7,6.4,14.4,4.69
Nanticoke River ,#REF!, Buoy 66 (mouth of DuPont Gut),4/25/2023 9:25,18.1,9.21,0.09,35,0.05,17.5,7.2,57.8,3.07
Nanticoke River ,#REF!, Buoy 66 (mouth of DuPont Gut),6/27/2023 9:08,28.7,7.85,0.09,120,0.05,24.9,6.8,92.3,2.54
Nanticoke River ,#REF!, Buoy 66 (mouth of DuPont Gut),8/29/2023 9:00,30.5,7.18,0.11,3970,0.05,25.4,7.1,115,2.53
Nanticoke River ,#REF!, Buoy 66 (mouth of DuPont Gut),10/31/2023 8:49,24,8.01,0.11,126,0.05,16.7,6.7,79.8,4.27
Concord Pond ,#REF!, German Rd. (Rd. 524),12/13/2022 8:43,1.4,11.36,0.03,4,0.05,8.3,7.1,1.95,2.95
Concord Pond ,#REF!, German Rd. (Rd. 524),2/28/2023 8:51,1.9,10.85,0.02,2,0.05,9.9,6.2,2.94,3.24
Concord Pond ,#REF!, German Rd. (Rd. 524),4/25/2023 9:13,9.9,8.58,0.06,8,0.05,17.3,6.3,8.29,2.26
Concord Pond ,#REF!, German Rd. (Rd. 524),6/27/2023 9:15,3.6,8.31,0.04,46,0.05,24.6,6.7,19.1,1.91
Concord Pond ,#REF!, German Rd. (Rd. 524),8/29/2023 9:18,1.3,6.46,0.02,496,0.05,23.5,6.6,4.95,1.76
Concord Pond ,#REF!, German Rd. (Rd. 524),10/31/2023 9:05,3.6,8.79,0.04,8,0.05,16.4,6,19.6,2.55
Williams Pond ,#REF!, East Poplar St.,12/13/2022 8:42,6.1,11.69,0.08,2,0.05,6.4,6.9,30.9,1.96
Williams Pond ,#REF!, East Poplar St.,2/28/2023 8:55,5.2,10.78,0.05,6,0.05,9.8,6.9,22.8,5.83
Williams Pond ,#REF!, East Poplar St.,4/25/2023 9:03,15.5,9.15,0.07,12,0.05,16.7,7.5,40.2,2.52
Williams Pond ,#REF!, East Poplar St.,6/27/2023 8:53,15.7,8.26,0.15,115,0.05,23.9,7.5,73,1.65
Williams Pond ,#REF!, East Poplar St.,8/29/2023 8:44,28.9,8.86,0.16,1630,0.05,24.7,9.5,77.9,2.03
Williams Pond ,#REF!, East Poplar St.,10/31/2023 8:35,7.8,9.29,0.06,26,0.1,16.5,7.2,36.1,3.9
Clear Brook ,#REF!, Cannon Rd. (Rt. 18),12/13/2022 8:11,0.7,11.54,0.07,275,0.11,3.9,6.7,0.58,3.81
Clear Brook ,#REF!, Cannon Rd. (Rt. 18),2/28/2023 8:21,1.4,9.27,0.03,582,0.05,9.4,6.4,2.42,4.93
Clear Brook ,#REF!, Cannon Rd. (Rt. 18),4/25/2023 8:29,3.1,7.39,0.14,65,0.05,13.1,6.7,2.33,2.81
Clear Brook ,#REF!, Cannon Rd. (Rt. 18),6/27/2023 8:22,3,5.84,0.21,977,0.25,22.4,6.9,6.04,2.67
Clear Brook ,#REF!, Cannon Rd. (Rt. 18),8/29/2023 8:13,13.3,6.87,0.28,4840,0.05,22.1,6.5,4.39,2.44
Clear Brook ,#REF!, Cannon Rd. (Rt. 18),10/31/2023 8:07,3.1,6.28,0.15,922,0.1,14.7,6.6,0.82,2.04
Bucks Branch ,#REF!, Conrail Rd. (Rd. 546),12/13/2022 8:25,1,11.48,0.03,231,0.1,5.6,6.4,1.24,10.8
Bucks Branch ,#REF!, Conrail Rd. (Rd. 546),2/28/2023 8:38,2.3,10.24,0.02,160,0.1,9.5,6.4,2.58,9.79
Bucks Branch ,#REF!, Conrail Rd. (Rd. 546),4/25/2023 8:47,1.4,8.56,0.03,26,0.1,12.7,6.5,1.28,8.56
Bucks Branch ,#REF!, Conrail Rd. (Rd. 546),6/27/2023 8:36,2.7,7.42,0.08,523,0.11,21.7,6.6,1.38,7.77
Bucks Branch ,#REF!, Conrail Rd. (Rd. 546),8/29/2023 8:29,7.1,7.55,0.09,4840,0.1,20.9,6.4,1.56,7.95
Bucks Branch ,#REF!, Conrail Rd. (Rd. 546),10/31/2023 8:20,1.4,7.19,0.04,551,0.11,14.5,6.4,0.47,9.68
Nanticoke River ,#REF!, Rt. 13,12/13/2022 8:10,13.1,11,0.06,62,0.05,6.5,7.2,12.9,4.15
Nanticoke River ,#REF!, Rt. 13,2/28/2023 8:15,8.1,10.98,0.03,22,0.05,9.8,6.3,17.1,4.46
Nanticoke River ,#REF!, Rt. 13,4/25/2023 8:56,20.5,9.07,0.09,19,0.05,17.6,6.7,80.9,3.18
Nanticoke River ,#REF!, Rt. 13,6/27/2023 8:56,19.3,7.86,0.07,152,0.05,24.4,6.5,78.3,2.62
Nanticoke River ,#REF!, Rt. 13,8/29/2023 9:01,21.4,7.55,0.06,149,0.05,24.6,6.9,107,2.64
Nanticoke River ,#REF!, Rt. 13,10/31/2023 8:47,18,8.55,0.07,92,0.05,17,6.3,60.8,4.13
Nanticoke River ,#REF!, Beach Hwy. (Rt. 16),12/13/2022 10:28,5.7,11.14,0.04,135,0.05,7.2,6.2,2.14,4.99
Nanticoke River ,#REF!, Beach Hwy. (Rt. 16),2/28/2023 10:15,8.9,10.06,0.04,91,0.05,10.6,5.6,7.75,4.18
Nanticoke River ,#REF!, Beach Hwy. (Rt. 16),4/25/2023 10:23,6.4,9.89,0.09,34,0.05,13.4,5.6,6.01,3.81
Nanticoke River ,#REF!, Beach Hwy. (Rt. 16),6/27/2023 11:11,1.1,9.2,0.07,171,0.05,23.6,6.1,2.01,3.62
Nanticoke River ,#REF!, Beach Hwy. (Rt. 16),8/29/2023 11:05,8.1,7.87,0.07,203,0.05,21.2,5.7,143,3.95
Nanticoke River ,#REF!, Beach Hwy. (Rt. 16),10/31/2023 11:09,2.1,9.12,0.04,13,0.05,14.5,5.2,4.62,4.21
